Alphabet	Voiced	Labial	Dental	Alveolar	Palatal/Post-alveloar	Velar	Uvuluar	Glottal	Stop	Fricative	Affricate	Nasal	Click	Approximant	Lateral	Rhotic
p	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0
b	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0
f	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
v	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
m	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
8	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
4	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
t	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
d	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
s	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
z	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
c	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
n	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
S	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
Z	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
C	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
j	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
T	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
5	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
k	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
g	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
x	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
N	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
q	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
G	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
X	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
7	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
h	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
l	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
L	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
w	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0
y	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
r	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
!	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
i	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
u	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
o	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
